date,time,price
2024-06-06, 16:00:00 ,71323 
2024-06-06, 17:00:00 ,70952 
2024-06-06, 18:00:00 ,71119 
2024-06-06, 19:00:00 ,71086 
2024-06-06, 20:00:00 ,70476 
2024-06-06, 21:00:00 ,70702 
2024-06-06, 22:00:00 ,70720 
2024-06-06, 23:00:00 ,70871 
2024-06-07, 00:00:00 ,70786 
2024-06-07, 01:00:00 ,70872 
2024-06-07, 02:00:00 ,70822 
2024-06-07, 03:00:00 ,70808 
2024-06-07, 04:00:00 ,70982 
2024-06-07, 05:00:00 ,71238 
2024-06-07, 06:00:00 ,71322 
2024-06-07, 07:00:00 ,71284 
2024-06-07, 08:00:00 ,71106 
2024-06-07, 09:00:00 ,71099 
2024-06-07, 10:00:00 ,71298 
2024-06-07, 11:00:00 ,71394 
2024-06-07, 12:00:00 ,71740 
2024-06-07, 13:00:00 ,71257 
2024-06-07, 14:00:00 ,71553 
2024-06-07, 15:00:00 ,71425 
2024-06-07, 16:00:00 ,71106 
2024-06-07, 17:00:00 ,70864 
2024-06-07, 18:00:00 ,69743 
2024-06-07, 19:00:00 ,69104 
2024-06-07, 20:00:00 ,69219 
2024-06-07, 21:00:00 ,69276 
2024-06-07, 22:00:00 ,69220 
2024-06-07, 23:00:00 ,69448 
2024-06-08, 00:00:00 ,69300 
2024-06-08, 01:00:00 ,69354 
2024-06-08, 02:00:00 ,69429 
2024-06-08, 03:00:00 ,69410 
2024-06-08, 04:00:00 ,69414 
2024-06-08, 05:00:00 ,69274 
2024-06-08, 06:00:00 ,69286 
2024-06-08, 07:00:00 ,69308 
2024-06-08, 08:00:00 ,69551 
2024-06-08, 09:00:00 ,69423 
2024-06-08, 10:00:00 ,69436 
2024-06-08, 11:00:00 ,69450 
2024-06-08, 12:00:00 ,69374 
2024-06-08, 13:00:00 ,69359 
2024-06-08, 14:00:00 ,69425 
2024-06-08, 15:00:00 ,69475 
2024-06-08, 16:00:00 ,69434 
2024-06-08, 17:00:00 ,69402 
2024-06-08, 18:00:00 ,69428 
2024-06-08, 19:00:00 ,69444 
2024-06-08, 20:00:00 ,69447 
2024-06-08, 21:00:00 ,69357 
2024-06-08, 22:00:00 ,69380 
2024-06-08, 23:00:00 ,69318 
2024-06-09, 00:00:00 ,69295 
2024-06-09, 01:00:00 ,69246 
2024-06-09, 02:00:00 ,69260 
2024-06-09, 03:00:00 ,69159 
2024-06-09, 04:00:00 ,69250 
2024-06-09, 05:00:00 ,69305 
2024-06-09, 06:00:00 ,69290 
2024-06-09, 07:00:00 ,69380 
2024-06-09, 08:00:00 ,69294 
2024-06-09, 09:00:00 ,69340 
2024-06-09, 10:00:00 ,69360 
2024-06-09, 11:00:00 ,69328 
2024-06-09, 12:00:00 ,69366 
2024-06-09, 13:00:00 ,69708 
2024-06-09, 14:00:00 ,69456 
2024-06-09, 15:00:00 ,69488 
2024-06-09, 16:00:00 ,69510 
2024-06-09, 17:00:00 ,69620 
2024-06-09, 18:00:00 ,69650 
2024-06-09, 19:00:00 ,69736 
2024-06-09, 20:00:00 ,69702 
2024-06-09, 21:00:00 ,69680 
2024-06-09, 22:00:00 ,69740 
2024-06-09, 23:00:00 ,69622 
2024-06-10, 00:00:00 ,69628 
2024-06-10, 01:00:00 ,69549 
2024-06-10, 02:00:00 ,69596 
2024-06-10, 03:00:00 ,69692 
2024-06-10, 04:00:00 ,69608 
2024-06-10, 05:00:00 ,69666 
2024-06-10, 06:00:00 ,69566 
2024-06-10, 07:00:00 ,69392 
2024-06-10, 08:00:00 ,69266 
2024-06-10, 09:00:00 ,69348 
2024-06-10, 10:00:00 ,69394 
2024-06-10, 11:00:00 ,69400 
