date,time,price
2024-06-22, 12:45:00 ,64298 
2024-06-22, 12:50:00 ,64241 
2024-06-22, 12:55:00 ,64253 
2024-06-22, 13:00:00 ,64260 
2024-06-22, 13:05:00 ,64245 
2024-06-22, 13:10:00 ,64245 
2024-06-22, 13:15:00 ,64214 
2024-06-22, 13:20:00 ,64233 
2024-06-22, 13:25:00 ,64238 
2024-06-22, 13:30:00 ,64252 
2024-06-22, 13:35:00 ,64234 
2024-06-22, 13:40:00 ,64250 
2024-06-22, 13:45:00 ,64254 
2024-06-22, 13:50:00 ,64242 
2024-06-22, 13:55:00 ,64210 
2024-06-22, 14:00:00 ,64235 
2024-06-22, 14:05:00 ,64210 
2024-06-22, 14:10:00 ,64258 
2024-06-22, 14:15:00 ,64244 
2024-06-22, 14:20:00 ,64264 
2024-06-22, 14:25:00 ,64313 
2024-06-22, 14:30:00 ,64312 
2024-06-22, 14:35:00 ,64280 
2024-06-22, 14:40:00 ,64280 
2024-06-22, 14:45:00 ,64288 
2024-06-22, 14:50:00 ,64274 
2024-06-22, 14:55:00 ,64236 
2024-06-22, 15:00:00 ,64234 
2024-06-22, 15:05:00 ,64222 
2024-06-22, 15:10:00 ,64250 
2024-06-22, 15:15:00 ,64219 
2024-06-22, 15:20:00 ,64197 
2024-06-22, 15:25:00 ,64200 
2024-06-22, 15:30:00 ,64200 
2024-06-22, 15:35:00 ,64210 
2024-06-22, 15:40:00 ,64220 
2024-06-22, 15:45:00 ,64228 
2024-06-22, 15:50:00 ,64197 
2024-06-22, 15:55:00 ,64232 
2024-06-22, 16:00:00 ,64244 
2024-06-22, 16:05:00 ,64264 
2024-06-22, 16:10:00 ,64216 
2024-06-22, 16:15:00 ,64216 
2024-06-22, 16:20:00 ,64232 
2024-06-22, 16:25:00 ,64245 
2024-06-22, 16:30:00 ,64237 
2024-06-22, 16:35:00 ,64236 
2024-06-22, 16:40:00 ,64240 
2024-06-22, 16:45:00 ,64290 
2024-06-22, 16:50:00 ,64262 
2024-06-22, 16:55:00 ,64261 
2024-06-22, 17:00:00 ,64261 
2024-06-22, 17:05:00 ,64286 
2024-06-22, 17:10:00 ,64251 
2024-06-22, 17:15:00 ,64228 
2024-06-22, 17:20:00 ,64228 
2024-06-22, 17:25:00 ,64228 
2024-06-22, 17:30:00 ,64228 
2024-06-22, 17:35:00 ,64250 
2024-06-22, 17:40:00 ,64244 
2024-06-22, 17:45:00 ,64224 
2024-06-22, 17:50:00 ,64224 
2024-06-22, 17:55:00 ,64196 
2024-06-22, 18:00:00 ,64192 
2024-06-22, 18:05:00 ,64192 
2024-06-22, 18:10:00 ,64192 
2024-06-22, 18:15:00 ,64208 
2024-06-22, 18:20:00 ,64208 
2024-06-22, 18:25:00 ,64200 
2024-06-22, 18:30:00 ,64217 
